18:07:2021, 00:00:00;20;19;15;2;6;medium
18:07:2021, 01:00:00;19;20;14;0;5;medium
18:07:2021, 02:00:00;19;30;14;0;5;medium
18:07:2021, 03:00:00;18;35;12;0;4;medium
18:07:2021, 04:00:00;17;40;15;2;4;medium
18:07:2021, 05:00:00;16;41;14;0;4;medium
18:07:2021, 06:00:00;15;39;12;0;5;medium
18:07:2021, 07:00:00;16;28;15;0;7;medium
18:07:2021, 08:00:00;18;30;16;0;8;medium
18:07:2021, 09:00:00;20;20;15;2;12;medium
18:07:2021, 10:00:00;22;20;13;0;15;low
18:07:2021, 11:00:00;24;22;12;0;20;low
18:07:2021, 12:00:00;25;22;12;0;20;low
18:07:2021, 13:00:00;26;22;12;0;20;low
18:07:2021, 14:00:00;26;22;12;0;20;low
18:07:2021, 15:00:00;24;90;15;10;18;low
18:07:2021, 16:00:00;24;80;15;5;19;low
18:07:2021, 17:00:00;25;40;13;2;20;low
18:07:2021, 18:00:00;24;20;15;0;18;low
18:07:2021, 19:00:00;23;15;15;0;16;low
18:07:2021, 20:00:00;21;20;10;0;13;low
18:07:2021, 21:00:00;19;20;15;0;10;low
18:07:2021, 22:00:00;18;20;15;2;8;low
18:07:2021, 23:00:00;19;20;15;2;7;low
